"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"97";"Landéda";"29101";"29";"53";3603;1158;48,5942441696518;-4,59225872499259
"98";"Landeleau";"29102";"29";"53";964;3036;48,2511352152574;-3,73317792954999
"99";"Landerneau";"29103";"29";"53";15443;1359;48,4511807462012;-4,26499749737936
"100";"Landévennec";"29104";"29";"53";341;1391;48,2819623727294;-4,30627108110564
"101";"Landivisiau";"29105";"29";"53";9108;1919;48,5141381803875;-4,05941219126789
"102";"Landrévarzec";"29106";"29";"53";1786;2051;48,0878614130911;-4,0775817565967
"103";"Landudal";"29107";"29";"53";858;1709;48,0582594393659;-3,97887934843444
"104";"Landudec";"29108";"29";"53";1360;2089;47,9938592563023;-4,33176099841357
"105";"Landunvez";"29109";"29";"53";1472;1490;48,5375890786025;-4,7373424987023
"106";"Langolen";"29110";"29";"53";879;1706;48,0734377969026;-3,91139767745569
"107";"Lanhouarneau";"29111";"29";"53";1291;1798;48,574383455932;-4,20642994401006
"108";"Lanildut";"29112";"29";"53";949;585;48,4792644168208;-4,73916613893914
"109";"Lanmeur";"29113";"29";"53";2193;2659;48,6435790191648;-3,72148946436878
"110";"Lannéanou";"29114";"29";"53";373;1628;48,5015428513664;-3,66579283014769
"111";"Lannédern";"29115";"29";"53";323;1246;48,2927672137557;-3,90404866039294
"112";"Lanneuffret";"29116";"29";"53";137;223;48,4950836026861;-4,20235568748599
"113";"Lannilis";"29117";"29";"53";5378;2539;48,5683685077708;-4,5256392788782
"114";"Lanrivoaré";"29119";"29";"53";1444;1554;48,4607848423541;-4,63818324773498
"115";"Lanvéoc";"29120";"29";"53";2205;1957;48,272624692225;-4,44621770247215
"116";"Porspoder";"29221";"29";"53";1796;1149;48,4994721031363;-4,76425675453048
"117";"Laz";"29122";"29";"53";678;3383;48,1281296404185;-3,83238190512488
"118";"Lennon";"29123";"29";"53";835;2292;48,2096218653334;-3,90187477483908
"119";"Lesneven";"29124";"29";"53";7229;1017;48,5811757070537;-4,31148402615295
"120";"Leuhan";"29125";"29";"53";788;3277;48,1032395466292;-3,785024747704
"121";"Loc-Brévalaire";"29126";"29";"53";198;165;48,5552146465161;-4,40680406823782
"122";"Saint-Thégonnec Loc-Eguiner";"29266";"29";"53";3002;4988;48,510992964276;-3,93672267143192
"123";"Loc-Eguiner";"29128";"29";"53";361;1217;48,4748940134414;-4,09489134529268
"124";"Locmaria-Berrien";"29129";"29";"53";247;1708;48,3653264347457;-3,70245360620271
"125";"Locmaria-Plouzané";"29130";"29";"53";4864;2318;48,369233075861;-4,64954527252301
"126";"Locmélar";"29131";"29";"53";449;1594;48,4518572715734;-4,05934306858885
"127";"Locquénolé";"29132";"29";"53";814;94;48,6241055216492;-3,86261087921611
"128";"Locquirec";"29133";"29";"53";1354;628;48,6834617726244;-3,67118286691975
"129";"Locronan";"29134";"29";"53";812;801;48,0968338391817;-4,21501866225765
"130";"Loctudy";"29135";"29";"53";3995;1421;47,8289506669125;-4,18267412050851
