"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"326";"Tréfumel";"22352";"22";"53";283;597;48,3413764404979;-2,02386890351663
"327";"Trégastel";"22353";"22";"53";2425;739;48,827112399065;-3,51263630930789
"328";"Tréglamus";"22354";"22";"53";981;1933;48,5594257971987;-3,26342322132021
"329";"Trégomeur";"22356";"22";"53";931;1080;48,5713064801649;-2,88239495457774
"330";"Trégon";"22357";"22";"53";249;588;48,5676660185534;-2,18310118757482
"331";"Trégonneau";"22358";"22";"53";538;631;48,6140490584963;-3,16309210720934
"332";"Trégrom";"22359";"22";"53";402;1689;48,596211135549;-3,39938356170477
"333";"Trégueux";"22360";"22";"53";8172;1453;48,4772414565366;-2,74405868992192
"334";"Tréguidel";"22361";"22";"53";604;667;48,6014308327155;-2,93957484206083
"335";"Tréguier";"22362";"22";"53";2489;161;48,7850538653528;-3,23292643934503
"336";"Trélévern";"22363";"22";"53";1360;709;48,8015365517236;-3,36934741402929
"337";"Trélivan";"22364";"22";"53";2574;1138;48,4254617743968;-2,10770867979004
"338";"Trémargat";"22365";"22";"53";193;1397;48,3304428855915;-3,26786224925391
"339";"Trémel";"22366";"22";"53";437;1188;48,6058385440691;-3,61700957524503
"340";"Tréméreuc";"22368";"22";"53";699;415;48,559399292303;-2,06779415910742
"341";"Trémeur";"22369";"22";"53";691;1484;48,354908907254;-2,26916234466515
"342";"Tréméven";"22370";"22";"53";345;517;48,6747395566757;-3,03492077700844
"343";"Trémorel";"22371";"22";"53";1119;3393;48,1880271849875;-2,30365998951695
"344";"Trémuson";"22372";"22";"53";1981;628;48,5245399406278;-2,8497589208375
"345";"Tréogan";"22373";"22";"53";99;715;48,187375521228;-3,53804218759937
"346";"Tressignaux";"22375";"22";"53";659;739;48,6050694904451;-2,98092819257901
"347";"Trévé";"22376";"22";"53";1628;2674;48,2120151395013;-2,81481625215054
"348";"Tréveneuc";"22377";"22";"53";773;676;48,6648405970484;-2,86870094020762
"349";"Trévérec";"22378";"22";"53";226;435;48,6614459817829;-3,0526613936769
"350";"Trévou-Tréguignec";"22379";"22";"53";1355;664;48,8130254314207;-3,34701070273802
"351";"Trévron";"22380";"22";"53";706;982;48,3912692071408;-2,06649374680325
"352";"Trézény";"22381";"22";"53";367;329;48,7543993183844;-3,35928957679777
"353";"Troguéry";"22383";"22";"53";286;327;48,7590506849551;-3,22545447259953
"354";"Uzel";"22384";"22";"53";1122;693;48,2800820930804;-2,84841333875544
"355";"Vicomté-sur-Rance";"22385";"22";"53";1002;451;48,4883963161987;-1,98432734329777
"356";"Vieux-Bourg";"22386";"22";"53";782;2568;48,3907379107876;-2,99548700740181
"357";"Vieux-Marché";"22387";"22";"53";1317;2239;48,6086729228242;-3,44422203262008
"358";"Vildé-Guingalan";"22388";"22";"53";1267;751;48,4367595447923;-2,15292651033789
"359";"Yffiniac";"22389";"22";"53";4903;1740;48,4680052695688;-2,68578195400784
"360";"Yvias";"22390";"22";"53";759;1174;48,7167860895397;-3,04709547492075
"361";"Yvignac-la-Tour";"22391";"22";"53";1192;3637;48,3520853270331;-2,16881114590913
